item_proposed	item_desired	date_proposed	date_reviewed	accepted	proposer_rate	counterparty_rate
209	1827	2022-01-20	2022-01-27	1	4	5
210	4189	2022-02-28				
211	4755	2022-01-21	2022-02-10	1	1	4
212	1125	2022-01-19	2022-02-07	0		
215	6620	2022-01-24	2022-02-17	0		
218	1793	2022-01-18	2022-02-09	1	2	5
222	2309	2022-02-28				
223	803	2022-01-18	2022-01-26	1	4	2
224	3175	2022-01-17	2022-01-24	1	3	1
228	5697	2022-01-20				
232	225	2022-02-03	2022-02-17	0		
232	1617	2022-02-17				
233	5696	2022-01-20	2022-02-11	1	5	5
235	2090	2022-01-31	2022-02-02	0		
235	6535	2022-02-16				
236	3149	2022-01-21	2022-02-03	1	4	3
238	6363	2022-01-26	2022-02-11	1	1	5
239	6718	2022-01-18	2022-01-20	0		
243	1698	2022-01-20				
245	515	2022-01-17				
246	3492	2022-02-07	2022-02-11	0		
247	36	2022-02-15	2022-02-21	1	4	3
248	5878	2022-02-01	2022-02-25	1		3
249	1420	2022-01-18				
250	3235	2022-01-31	2022-02-03	1	3	1
251	2331	2022-02-14				
251	7043	2022-01-26	2022-02-10	0		
252	7024	2022-01-17	2022-01-24	1	5	2
253	971	2022-02-10	2022-02-23	1		3
255	941	2022-02-18	2022-02-24	1		4
256	7262	2022-01-28				
258	4071	2022-01-20	2022-01-26	1	2	5
259	3157	2022-01-17	2022-02-18	1	2	1
264	1717	2022-02-23				
272	1854	2022-01-18	2022-02-07	1	1	1
273	6745	2022-01-21				
281	4735	2022-01-28				
282	3930	2022-01-24	2022-02-15	1	3	3
284	19	2022-02-24				
284	1389	2022-01-19	2022-02-03	0		
285	2424	2022-01-17	2022-01-28	0		
285	4779	2022-01-28				
286	3198	2022-02-23				
287	3654	2022-01-18	2022-02-09	0		
290	4906	2022-02-15	2022-02-18	0		
292	5258	2022-02-14	2022-02-16	0		
294	4521	2022-01-18	2022-02-15	1	5	2
295	3129	2022-02-21	2022-02-25	0		
296	6323	2022-01-17	2022-02-03	0		
298	6503	2022-02-01				
299	4053	2022-01-25				
300	4474	2022-01-18	2022-02-02	0		
305	4085	2022-01-26	2022-01-28	1	4	2
307	5073	2022-02-09				
308	3324	2022-02-10				
310	2030	2022-01-20				
311	5302	2022-01-18				
314	178	2022-01-17				
315	2924	2022-01-24				
318	4032	2022-02-02	2022-02-14	0		
320	4128	2022-01-19	2022-01-31	1	5	2
321	5723	2022-02-10				
324	3351	2022-01-17				
326	944	2022-01-24	2022-02-15	1	4	2
330	6284	2022-01-19	2022-02-16	1	5	5
331	1713	2022-01-24				
332	6448	2022-01-19				
336	6892	2022-01-17				
337	550	2022-01-28				
339	3093	2022-02-02	2022-02-03	0		
339	5304	2022-02-04	2022-02-08	1	5	4
340	3776	2022-01-17	2022-02-03	0		
341	2859	2022-01-26	2022-02-17	1	4	4
342	1675	2022-01-24	2022-01-26	1	2	2
344	4614	2022-01-27	2022-02-14	0		
345	4174	2022-01-21				
346	3849	2022-01-17	2022-02-23	1	1	1
347	4029	2022-02-21	2022-02-28	1		
348	3840	2022-01-18	2022-01-25	0		
349	3180	2022-02-07				
349	6901	2022-01-19	2022-01-21	0		
354	5192	2022-01-31	2022-02-01	0		
354	5956	2022-02-03				
355	1493	2022-01-17				
358	619	2022-01-17	2022-02-01	1	2	3
360	4194	2022-01-31				
364	6353	2022-01-17	2022-01-28	1	1	3
367	1870	2022-01-25	2022-02-15	0		
367	3724	2022-02-18				
368	2472	2022-01-18	2022-02-04	1	4	1
370	6511	2022-02-02				
371	2513	2022-02-23				
371	5541	2022-02-08	2022-02-09	0		
372	3067	2022-01-28	2022-02-03	1	3	1
375	7108	2022-01-26				
377	329	2022-02-23				
379	509	2022-01-19				
380	7142	2022-01-24	2022-02-21	0		
381	6430	2022-01-21	2022-01-31	1	5	1
384	3108	2022-01-17	2022-02-03	0		
387	4455	2022-02-10				
388	5974	2022-01-21				
393	4291	2022-01-20	2022-02-17	1	2	4
396	2194	2022-01-18	2022-01-26	1	4	5
397	3578	2022-01-19	2022-02-22	1		4
399	2431	2022-02-09				
399	4267	2022-01-21	2022-02-02	0		
401	4792	2022-01-18	2022-01-24	1	2	1
402	1365	2022-01-21				
405	21	2022-02-21				
405	5830	2022-01-26	2022-02-02	0		
406	6815	2022-02-22				
409	4510	2022-01-18	2022-01-20	0		
419	6458	2022-01-21				
421	820	2022-01-19	2022-01-21	1	4	4
426	5594	2022-01-31				
429	2299	2022-01-24				
430	6582	2022-01-17				
434	6903	2022-02-02				
439	404	2022-01-28				
440	2452	2022-01-24	2022-02-17	1	2	5
441	5619	2022-01-18				
442	1853	2022-02-01				
443	2699	2022-01-17	2022-02-02	1	4	1
447	2441	2022-01-18	2022-01-20	1	2	3
449	231	2022-02-04	2022-02-24	1	5	5
450	3625	2022-01-20	2022-02-07	1	1	2
456	7394	2022-02-08				
457	4114	2022-01-18	2022-02-23	1		1
458	7183	2022-01-20	2022-02-14	0		
460	3664	2022-01-17	2022-01-20	1	2	4
463	257	2022-01-21	2022-02-17	0		
465	3642	2022-01-25	2022-02-28	0		
467	6040	2022-01-17	2022-01-19	1	1	2
468	5869	2022-01-21	2022-01-27	1	3	1
470	1680	2022-01-24				
471	2187	2022-02-02	2022-02-24	0		
472	1084	2022-01-31	2022-02-24	0		
473	3691	2022-02-22	2022-02-25	0		
474	5262	2022-01-17	2022-02-08	1	3	3
476	3761	2022-02-23				
482	554	2022-01-17				
483	5763	2022-01-19				
484	2748	2022-01-24	2022-01-27	1	5	3
485	797	2022-01-24	2022-02-17	0		
485	5361	2022-02-21				
486	3700	2022-01-18				
487	1028	2022-01-17	2022-02-16	0		
489	1287	2022-01-28	2022-02-08	1	4	5
490	1108	2022-02-14				
490	4872	2022-01-17	2022-01-25	0		
491	327	2022-01-21				
494	4923	2022-02-17				
497	1611	2022-01-18				
501	4738	2022-02-02				
502	5567	2022-01-19	2022-02-01	0		
511	1384	2022-02-02				
512	3051	2022-02-17				
513	4482	2022-01-26				
514	841	2022-02-21	2022-02-25	1	4	
516	4195	2022-01-19	2022-02-17	0		
517	6770	2022-02-24				
518	4153	2022-01-18	2022-02-08	1	5	4
520	875	2022-01-21	2022-01-25	0		
523	6137	2022-01-18	2022-02-14	1	4	3
524	3414	2022-01-21	2022-01-24	0		
525	5296	2022-01-28	2022-02-17	0		
526	4813	2022-01-18	2022-02-01	1	4	2
528	5243	2022-01-19	2022-01-31	0		
531	4623	2022-01-17	2022-02-07	0		
532	5197	2022-02-15				
536	520	2022-01-25	2022-01-27	1	2	1
539	5759	2022-02-24	2022-02-25	1	3	
540	369	2022-02-28				
541	6712	2022-02-09	2022-02-18	1	5	1
546	5743	2022-02-04				
547	3516	2022-02-16	2022-02-22	1	2	2
548	6469	2022-01-17	2022-02-28	0		
558	2110	2022-02-01	2022-02-02	0		
560	6990	2022-01-19	2022-02-10	1	3	5
565	5376	2022-01-25	2022-02-21	0		
567	5427	2022-01-17				
571	1880	2022-01-20	2022-02-04	0		
571	5286	2022-02-18	2022-02-21	0		
574	6943	2022-01-28				
578	965	2022-02-09				
579	5735	2022-02-08	2022-02-21	1		
582	3001	2022-01-18	2022-02-09	0		
583	6128	2022-01-24	2022-02-07	1	4	5
584	4916	2022-01-17				
587	4534	2022-01-26				
588	4765	2022-02-01	2022-02-11	1	2	4
596	5101	2022-01-17				
598	3039	2022-02-21				
598	7053	2022-01-27	2022-02-11	0		
603	6207	2022-01-31	2022-02-18	0		
604	5137	2022-01-19	2022-02-14	0		
605	36	2022-01-20	2022-02-03	0		
605	2044	2022-01-17	2022-01-19	0		
608	3723	2022-02-09	2022-02-11	0		
609	319	2022-01-24	2022-01-26	1	1	3
611	2283	2022-01-18	2022-01-24	1	5	4
613	4913	2022-01-19	2022-01-27	1	4	1
614	6687	2022-01-25	2022-02-22	0		
616	7155	2022-01-20				
618	1438	2022-02-23				
621	3372	2022-02-08	2022-02-23	0		
621	7323	2022-01-17	2022-01-26	0		
622	4655	2022-01-24	2022-01-26	0		
626	858	2022-01-19	2022-01-20	0		
627	2167	2022-01-20	2022-02-09	0		
628	6012	2022-02-04	2022-02-16	1	5	5
629	2561	2022-01-17				
634	3063	2022-01-21	2022-01-25	0		
634	4108	2022-01-25	2022-01-31	1	4	1
635	5162	2022-01-28				
636	5061	2022-01-17	2022-01-20	0		
636	5939	2022-02-15				
636	7040	2022-01-20	2022-02-11	0		
637	1081	2022-01-24				
639	1531	2022-01-28				
641	6764	2022-01-17				
643	6402	2022-02-09	2022-02-17	1	2	2
644	3571	2022-01-17				
646	4235	2022-02-28				
647	4031	2022-01-27	2022-02-21	0		
647	7378	2022-01-18	2022-01-26	0		
648	4936	2022-01-26				
649	2208	2022-01-20	2022-02-18	1	5	
654	3656	2022-01-18				
656	2451	2022-01-19	2022-01-25	1	5	4
657	763	2022-02-01				
658	1004	2022-01-24	2022-01-28	1	3	2
661	5461	2022-02-15				
662	3438	2022-01-17				
667	1906	2022-01-31	2022-02-28	0		
668	6242	2022-01-17				
669	4321	2022-01-19	2022-02-01	0		
670	5674	2022-02-28				
674	6635	2022-02-10	2022-02-15	1	4	3
678	6883	2022-01-19	2022-01-21	1	5	3
679	5191	2022-01-21	2022-01-24	1	4	5
680	5278	2022-01-18	2022-01-24	1	4	3
682	589	2022-01-17	2022-01-19	1	3	4
683	1815	2022-01-28	2022-02-03	1	2	3
686	6359	2022-01-17				
688	1835	2022-01-24	2022-02-09	0		
691	4541	2022-02-08				
692	6604	2022-02-01	2022-02-17	1	3	4
704	1983	2022-01-21	2022-02-10	0		
705	4554	2022-01-17	2022-02-10	1	3	2
706	1422	2022-01-24	2022-02-21	0		
708	1114	2022-02-25				
710	5811	2022-01-26	2022-02-02	1	1	4
713	4920	2022-01-28	2022-02-02	0		
715	3169	2022-01-31				
716	2870	2022-01-17	2022-01-21	1	2	3
717	6520	2022-01-20	2022-02-14	1	3	1
718	5572	2022-01-25	2022-02-03	1	3	4
719	5640	2022-02-18				
720	4749	2022-02-21	2022-02-22	1		5
721	4149	2022-01-18	2022-02-11	1	5	2
722	4222	2022-01-28	2022-02-16	1	5	4
724	6919	2022-01-17	2022-02-07	1	5	1
726	1676	2022-02-23				
728	1026	2022-01-21				
730	3666	2022-01-18				
731	3767	2022-01-25	2022-01-26	1	3	2
737	6797	2022-02-01				
742	6155	2022-01-18	2022-02-14	1	2	3
743	10	2022-02-23				
745	16	2022-01-17	2022-01-27	1	2	2
749	4559	2022-02-18				
750	2289	2022-02-14				
752	3904	2022-01-21	2022-02-02	0		
753	5383	2022-01-18	2022-02-18	1		4
754	1303	2022-01-31				
758	453	2022-01-18	2022-01-27	1	4	3
759	1731	2022-02-04	2022-02-14	1	4	5
760	3299	2022-01-17	2022-02-08	1	3	5
761	4569	2022-02-21				
762	5603	2022-01-21	2022-02-22	1		3
764	2842	2022-01-17	2022-02-23	0		
765	1507	2022-02-04	2022-02-18	1	1	3
770	2035	2022-01-20	2022-02-02	1	3	2
773	316	2022-02-01				
774	6875	2022-02-15				
775	2450	2022-01-19	2022-01-20	1	5	5
783	4917	2022-01-20	2022-02-01	1	3	4
787	6464	2022-01-18	2022-02-04	1	3	3
790	1357	2022-01-17	2022-01-31	1	4	1
792	1068	2022-01-21	2022-02-17	0		
793	5535	2022-02-15				
794	3663	2022-01-24	2022-02-11	0		
796	1873	2022-02-10				
798	26	2022-01-17	2022-02-11	0		
798	1528	2022-02-22				
802	6887	2022-01-18	2022-02-28	1		
806	7160	2022-01-19	2022-02-28	0		
807	4057	2022-01-17	2022-02-01	1	2	5
808	3380	2022-02-15				
811	6123	2022-01-24	2022-01-26	1	4	5
812	2145	2022-02-07	2022-02-16	1	5	5
815	6383	2022-01-18	2022-02-04	1	2	3
825	2944	2022-01-18	2022-02-22	0		
826	6479	2022-01-27	2022-02-07	1	4	4
828	5643	2022-01-17	2022-02-04	1	3	5
829	6839	2022-01-26				
831	2025	2022-01-26				
834	6211	2022-02-02				
835	5029	2022-01-18	2022-02-23	1	3	
836	2861	2022-02-04				
836	6619	2022-01-17	2022-01-18	0		
838	1463	2022-02-14				
840	1284	2022-01-21	2022-02-04	1	5	3
847	5276	2022-01-26				
848	3491	2022-02-10				
849	642	2022-01-19	2022-01-24	1	3	3
850	3100	2022-01-18	2022-02-07	0		
854	1353	2022-01-17	2022-02-28	1		
855	3146	2022-02-08	2022-02-21	1		4
856	1829	2022-01-20	2022-02-10	1	2	3
857	6707	2022-01-19	2022-02-04	0		
859	2485	2022-02-11				
869	5347	2022-01-28	2022-02-07	1	1	5
872	4821	2022-01-31				
873	1109	2022-01-17	2022-01-24	1	3	5
874	1811	2022-01-17	2022-02-28	1		
876	3256	2022-01-28	2022-02-08	1	1	3
879	7192	2022-02-01				
881	2176	2022-01-17	2022-01-27	0		
882	5250	2022-02-16				
883	2100	2022-01-27	2022-02-11	0		
886	3404	2022-01-19	2022-01-24	1	1	2
890	5341	2022-01-17	2022-01-28	1	2	3
893	6792	2022-01-25	2022-01-26	1	3	2
895	2510	2022-02-07	2022-02-11	0		
899	6003	2022-01-19	2022-01-21	1	1	2
901	5124	2022-01-17	2022-02-03	1	5	1
904	929	2022-01-28	2022-02-04	1	4	2
905	2670	2022-01-17				
906	5718	2022-01-21				
907	3671	2022-02-23				
909	1133	2022-02-16				
910	51	2022-01-18	2022-02-21	1	1	2
915	5570	2022-01-31				
917	177	2022-01-17				
920	6444	2022-02-16				
921	2847	2022-01-18	2022-02-03	1	1	2
922	1863	2022-01-19	2022-01-25	0		
924	5149	2022-01-19	2022-02-18	1	1	1
926	4117	2022-01-25	2022-02-17	0		
928	702	2022-01-17	2022-01-20	1	1	5
932	3217	2022-01-20				
934	5607	2022-02-22				
935	3895	2022-01-31	2022-02-28	0		
938	6342	2022-01-18				
940	1363	2022-01-21	2022-02-24	1		1
942	5508	2022-01-25	2022-01-31	1	2	5
949	6255	2022-02-04	2022-02-10	1	4	3
957	4082	2022-02-01	2022-02-02	1	3	3
957	6797	2022-01-17	2022-01-28	0		
958	1097	2022-02-16				
959	7344	2022-01-28				
960	4433	2022-01-17				
963	1682	2022-01-20	2022-02-02	1	3	1
964	5842	2022-01-19				
966	2828	2022-02-23				
968	3791	2022-02-04				
970	6418	2022-02-08				
970	7010	2022-01-21	2022-02-08	0		
972	1876	2022-01-25	2022-01-31	0		
974	1726	2022-01-24	2022-02-09	0		
974	7152	2022-02-16	2022-02-22	1	5	4
976	729	2022-01-25				
977	3050	2022-01-19	2022-02-11	1	1	1
986	2836	2022-01-17	2022-02-25	1	1	
987	4506	2022-02-03	2022-02-07	0		
989	1210	2022-01-24	2022-02-04	1	4	2
994	1045	2022-01-19	2022-02-07	1	3	5
998	5224	2022-01-26	2022-02-02	1	1	4
999	1159	2022-01-17	2022-02-09	1	4	5
1000	3191	2022-01-19	2022-01-25	0		
1000	3788	2022-02-04	2022-02-21	1	3	4
1001	6361	2022-01-21	2022-02-15	1	4	3
1002	2963	2022-01-24				
1003	4838	2022-01-19	2022-02-15	1	5	3
1005	350	2022-01-31	2022-02-11	0		
1006	1321	2022-01-18	2022-01-19	1	3	2
1007	2183	2022-01-18	2022-01-28	1	2	5
1008	5017	2022-01-19	2022-02-02	0		
1009	7090	2022-01-24				
1010	5022	2022-01-20	2022-02-23	1	2	
1011	4	2022-01-19				
1013	6954	2022-02-02	2022-02-16	1	5	3
1015	2457	2022-01-28	2022-02-17	0		
1016	5303	2022-01-21	2022-01-31	1	2	1
1017	1072	2022-01-18				
1018	3263	2022-02-14				
1019	6957	2022-02-21	2022-02-25	1		2
1020	53	2022-01-18	2022-01-24	0		
1021	5575	2022-02-09	2022-02-24	0		
1022	6362	2022-01-20	2022-01-28	1	2	5
1023	6988	2022-01-25	2022-01-28	1	2	2
1025	5390	2022-02-24				
1028	2304	2022-02-17				
1034	6715	2022-02-03	2022-02-04	1	4	1
1038	7124	2022-02-01				
1041	5983	2022-01-20	2022-02-25	1		
1046	117	2022-01-24	2022-02-10	1	4	5
1047	4965	2022-01-17	2022-01-31	1	2	1
1048	182	2022-01-19	2022-02-04	1	4	1
1049	1241	2022-01-18	2022-01-24	1	5	4
1050	7323	2022-01-28				
1051	6755	2022-02-10				
1051	6949	2022-02-04	2022-02-10	0		
1052	5930	2022-01-20	2022-02-16	1	2	3
1053	2235	2022-01-17	2022-01-25	1	2	2
1056	5944	2022-01-17				
1058	4427	2022-01-24				
1059	5724	2022-01-25				
1061	7345	2022-02-17				
1063	768	2022-02-24				
1064	2732	2022-01-17	2022-02-16	0		
1064	7439	2022-02-24				
1065	4918	2022-02-10	2022-02-11	0		
1066	2219	2022-02-02	2022-02-04	1	1	2
1067	2444	2022-02-07				
1068	5747	2022-02-17				
1069	403	2022-01-18	2022-02-07	1	3	4
1070	6517	2022-01-20	2022-02-18	1	3	5
1071	6291	2022-02-11				
1073	2587	2022-01-17	2022-01-19	1	5	5
1078	4317	2022-01-21				
1079	5464	2022-02-24				
1082	5260	2022-01-18				
1086	4695	2022-02-04				
1087	3770	2022-01-19				
1088	749	2022-01-21	2022-01-25	0		
1088	2365	2022-02-09				
1089	2494	2022-02-02				
1094	106	2022-01-17	2022-02-21	1	5	2
1098	6682	2022-01-27				
1099	1326	2022-02-23				
1103	5050	2022-02-04	2022-02-11	1	1	1
1104	2129	2022-01-19	2022-02-03	1	3	3
1106	5998	2022-01-31	2022-02-01	1	5	3
1107	6798	2022-01-20				
1110	6539	2022-01-18	2022-02-11	1	1	4
1111	5926	2022-01-26	2022-02-02	0		
1112	6567	2022-02-01	2022-02-21	1	1	4
1115	6692	2022-01-17	2022-01-20	1	2	1
1116	5648	2022-02-08				
1120	3812	2022-01-21	2022-02-18	1	4	1
1123	3558	2022-01-17	2022-02-16	1	1	4
1124	4806	2022-01-28				
1127	5155	2022-01-17	2022-02-09	0		
1130	4766	2022-01-24	2022-01-31	1	4	1
1131	6690	2022-01-18	2022-01-31	1	2	3
1136	3176	2022-01-18				
1137	6153	2022-02-01	2022-02-03	1	2	5
1140	5848	2022-01-27	2022-02-16	1	3	3
1141	4077	2022-01-19	2022-01-26	1	1	5
1142	2282	2022-01-18				
1143	6259	2022-01-27				
1144	3827	2022-01-28	2022-02-02	0		
1146	1520	2022-02-02	2022-02-10	0		
1148	5993	2022-02-04	2022-02-08	0		
1152	6492	2022-01-19	2022-01-31	1	1	1
1154	3908	2022-02-10				
1155	736	2022-01-18				
1157	7210	2022-02-23	2022-02-28	1		
1160	2038	2022-02-07	2022-02-10	0		
1162	6231	2022-02-09				
1164	6953	2022-02-08				
1166	2170	2022-01-26	2022-02-01	0		
1169	1202	2022-01-17	2022-01-21	1	1	4
1172	463	2022-01-17	2022-01-21	0		
1172	1252	2022-02-11				
1175	3016	2022-01-18	2022-02-11	0		
1176	2448	2022-02-09				
1180	2435	2022-01-17				
1181	5019	2022-01-20	2022-01-31	1	3	4
1182	2489	2022-01-27	2022-02-21	1	4	4
1183	3570	2022-02-17				
1184	7435	2022-01-19	2022-01-21	1	1	5
1185	2048	2022-01-27				
1187	6446	2022-01-17	2022-01-19	0		
1188	1711	2022-02-28				
1190	3647	2022-02-22	2022-02-25	0		
1194	3424	2022-01-19	2022-01-25	1	4	3
1195	2103	2022-02-01	2022-02-08	1	3	2
1198	2736	2022-01-21	2022-02-15	1	5	2
1204	2422	2022-02-02				
1206	1529	2022-02-18	2022-02-21	0		
1209	4154	2022-02-09	2022-02-28	0		
1213	6934	2022-01-20				
1214	5219	2022-02-22				
1218	4683	2022-01-21				
1219	814	2022-01-28				
1220	2948	2022-01-18	2022-01-19	1	3	1
1221	3963	2022-02-21				
1223	1350	2022-02-28				
1224	377	2022-01-21	2022-01-27	0		
1225	2465	2022-01-20	2022-02-01	1	4	1
1227	5436	2022-01-18	2022-02-25	1		4
1232	2365	2022-01-26	2022-02-09	0		
1233	7174	2022-01-17	2022-02-15	1	5	3
1234	5853	2022-01-21	2022-01-24	1	3	2
1235	5788	2022-02-22				
1236	1035	2022-01-24				
1242	638	2022-01-19	2022-02-08	1	3	1
1243	2455	2022-02-04	2022-02-08	0		
1246	1402	2022-01-20	2022-01-28	1	4	1
1247	5328	2022-02-07				
1249	7279	2022-01-24	2022-02-11	1	2	3
1250	480	2022-02-17				
1250	6820	2022-01-18	2022-01-25	0		
1251	3563	2022-01-25	2022-02-22	0		
1252	5712	2022-01-19	2022-02-11	0		
1253	3910	2022-01-31	2022-02-04	0		
1257	5744	2022-01-17	2022-02-18	0		
1259	6183	2022-01-19				
1260	6571	2022-01-18	2022-01-20	1	4	3
1261	1570	2022-01-21	2022-02-14	0		
1262	2591	2022-01-26	2022-01-27	0		
1263	352	2022-01-17	2022-02-03	1	1	2
1264	7016	2022-01-18	2022-02-14	1	4	4
1266	2551	2022-01-21	2022-02-10	0		
1270	6543	2022-01-24	2022-02-04	1	1	2
1273	6324	2022-01-17	2022-02-24	1		4
1274	4903	2022-01-21	2022-01-24	0		
1274	5672	2022-01-24	2022-01-26	1	5	3
1276	823	2022-02-18	2022-02-24	0		
1278	5873	2022-01-18	2022-02-10	1	3	1
1279	2844	2022-01-27	2022-02-10	1	4	3
1281	4156	2022-02-18	2022-02-23	0		
1283	5378	2022-01-17				
1288	6785	2022-01-19				
1290	2079	2022-01-17	2022-01-28	1	3	3
1293	203	2022-02-07				
1296	3911	2022-02-17				
1298	7119	2022-01-18				
1299	6888	2022-02-08	2022-02-10	1	5	4
1301	2739	2022-01-24	2022-02-01	0		
1301	6279	2022-02-09				
1308	1891	2022-02-16				
1310	3065	2022-01-17	2022-01-24	1	5	1
1311	7008	2022-01-18				
1314	6958	2022-01-17	2022-01-31	0		
1316	1967	2022-01-19	2022-01-26	1	2	5
1322	170	2022-02-04	2022-02-07	0		
1323	2704	2022-01-21	2022-01-24	1	3	2
1324	4523	2022-02-18				
1327	2278	2022-01-17				
1328	1093	2022-02-03	2022-02-28	0		
1330	6561	2022-01-21	2022-02-23	1	1	3
1332	3586	2022-01-17	2022-02-21	0		
1333	1724	2022-01-25	2022-02-24	1	4	
1337	1207	2022-01-28				
1339	5144	2022-01-21	2022-01-24	0		
1341	1850	2022-01-20	2022-02-09	0		
1344	7022	2022-01-19				
1349	3880	2022-01-31				
1356	4789	2022-01-18	2022-01-21	1	5	5
1367	4790	2022-01-17	2022-02-07	0		
1370	3842	2022-01-18	2022-01-24	0		
1370	5941	2022-02-21				
1371	580	2022-01-31				
1372	3110	2022-01-25	2022-02-08	1	2	3
1374	3238	2022-02-09	2022-02-14	0		
1375	630	2022-02-24				
1375	1770	2022-01-19	2022-02-21	0		
1377	3343	2022-01-17	2022-01-26	1	1	2
1380	4591	2022-01-21	2022-01-31	0		
1386	1100	2022-01-21	2022-01-27	0		
1386	2184	2022-02-08				
1387	1376	2022-01-20	2022-01-31	1	2	3
1389	5996	2022-02-25				
1392	490	2022-02-01	2022-02-08	0		
1394	3411	2022-01-28				
1395	3929	2022-01-18	2022-01-19	1	2	5
1397	3070	2022-01-20	2022-02-01	1	4	5
1398	1905	2022-01-24	2022-02-17	1	5	3
1399	4805	2022-01-25	2022-02-08	1	2	1
1401	5885	2022-01-19				
1406	3613	2022-01-26	2022-02-01	1	1	4
1407	4205	2022-01-28	2022-02-14	0		
1409	4152	2022-01-17				
1410	810	2022-01-17	2022-02-14	1	5	3
1412	4955	2022-02-04	2022-02-14	1	2	1
1416	6708	2022-01-21				
1418	77	2022-01-18	2022-01-31	1	3	1
1419	4459	2022-01-19	2022-02-11	0		
1425	2909	2022-01-17	2022-01-27	1	2	4
1430	2724	2022-01-18	2022-01-19	1	4	5
1431	2622	2022-01-28	2022-01-31	0		
1434	7046	2022-01-21	2022-02-11	1	2	1
1435	5456	2022-01-25				
1437	6807	2022-01-26				
1438	4023	2022-01-25	2022-02-14	0		
1440	2524	2022-02-04	2022-02-11	0		
1440	5607	2022-01-21	2022-01-26	0		
1441	7286	2022-02-15				
1443	4656	2022-01-17	2022-02-04	1	4	3
1446	3317	2022-01-17	2022-02-15	1	3	3
1447	365	2022-01-26				
1448	1471	2022-02-08				
